model,hardware,tp,batch_size,prompt_plus_token_size,token_time,layer_time,Matmul,BatchedMatmul,Softmax,LayerNorm,GeLU,AllReduce,Others
Bloom-176B,H100x8,8,1,3072,0.030181,0.00043115,0.00032382,4.9737e-05,6.6154e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3073,0.030181,0.00043116,0.00032382,4.9744e-05,6.6154e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3076,0.030182,0.00043117,0.00032382,4.9753e-05,6.6164e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3074,0.030181,0.00043116,0.00032382,4.9747e-05,6.6164e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3584,0.030339,0.00043342,0.00032382,5.1895e-05,6.7265e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3328,0.03026,0.00043229,0.00032382,5.0819e-05,6.672e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3200,0.030219,0.00043171,0.00032382,5.0265e-05,6.6427e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3456,0.030299,0.00043284,0.00032382,5.1343e-05,6.6993e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3080,0.030183,0.00043118,0.00032382,4.9764e-05,6.6164e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3104,0.030191,0.0004313,0.00032382,4.9876e-05,6.6225e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3136,0.030201,0.00043144,0.00032382,5.0014e-05,6.6296e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3088,0.030185,0.00043121,0.00032382,4.9794e-05,6.6185e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4096,0.030496,0.00043566,0.00032382,5.4026e-05,6.8366e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,3840,0.030417,0.00043453,0.00032382,5.2948e-05,6.7821e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4097,0.030491,0.00043559,0.00032382,5.4028e-05,6.7579e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4098,0.030491,0.00043559,0.00032382,5.4031e-05,6.7579e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4128,0.0305,0.00043572,0.00032382,5.4161e-05,6.7589e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4100,0.030492,0.00043559,0.00032382,5.4037e-05,6.7579e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4104,0.030493,0.00043561,0.00032382,5.4054e-05,6.7579e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4112,0.030497,0.00043567,0.00032382,5.4108e-05,6.7589e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4608,0.030645,0.00043779,0.00032382,5.6182e-05,6.8114e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,5120,0.030941,0.00044202,0.00032382,6.0341e-05,6.875e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4864,0.030937,0.00044195,0.00032382,6.0309e-05,6.8427e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,5632,0.030969,0.00044241,0.00032382,6.0675e-05,6.9387e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4480,0.030606,0.00043723,0.00032382,5.5631e-05,6.7952e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4224,0.03053,0.00043614,0.00032382,5.458e-05,6.7639e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4160,0.03051,0.00043586,0.00032382,5.4302e-05,6.7599e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,4352,0.030568,0.00043668,0.00032382,5.5104e-05,6.7781e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,6144,0.03102,0.00044314,0.00032382,6.1337e-05,7.0023e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,1,7168,0.030974,0.00044249,0.00032382,6.0556e-05,7.1306e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,2,2,0.029288,0.0004184,0.00032399,3.6846e-05,6.2346e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,1,8192,0.031645,0.00045206,0.00032382,7.0009e-05,7.2568e-06,1.4051e-05,5.9532e-06,3.0922e-05,5.1317e-08
Bloom-176B,H100x8,8,2,3,0.029289,0.00041841,0.00032399,3.6852e-05,6.2346e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,5,0.029292,0.00041845,0.00032399,3.6894e-05,6.2346e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,6,0.029292,0.00041846,0.00032399,3.6899e-05,6.2346e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,4,0.029291,0.00041845,0.00032399,3.6889e-05,6.2346e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,12,0.029296,0.00041852,0.00032399,3.6963e-05,6.2346e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
