model,hardware,tp,batch_size,prompt_size,prompt_time,layer_time,Matmul,BatchedMatmul,Softmax,LayerNorm,GeLU,AllReduce,Others
Bloom-176B,H100x8,8,6,32,0.037353,0.00053361,0.00036333,3.7777e-05,6.5427e-06,3.2458e-05,1.0582e-05,7.3069e-05,9.8529e-06
Bloom-176B,H100x8,8,6,64,0.0525,0.00075,0.00050923,3.9592e-05,7.3508e-06,4.3141e-05,1.5542e-05,0.00011544,1.9706e-05
Bloom-176B,H100x8,8,6,128,0.088472,0.0012639,0.00087457,4.4184e-05,1.0855e-05,7.4454e-05,2.0229e-05,0.00020018,3.9412e-05
Bloom-176B,H100x8,8,6,256,0.16101,0.0023001,0.0016077,5.8057e-05,2.0502e-05,0.0001299,3.5493e-05,0.00036965,7.8823e-05
Bloom-176B,H100x8,8,6,512,0.30095,0.0042993,0.0029609,0.00010061,6.1946e-05,0.0002479,6.1673e-05,0.0007086,0.00015765
Bloom-176B,H100x8,8,6,384,0.23288,0.0033268,0.0023042,8.3748e-05,3.7529e-05,0.00019324,5.0757e-05,0.00053912,0.00011824
Bloom-176B,H100x8,8,6,768,0.44818,0.0064026,0.0043447,0.00017703,0.00013793,0.00036669,9.2202e-05,0.0010475,0.00023647
Bloom-176B,H100x8,8,6,1024,0.59544,0.0085063,0.0057355,0.00024611,0.00022772,0.0004768,0.00011838,0.0013865,0.00031529
Bloom-176B,H100x8,8,6,1536,0.90177,0.012882,0.0084517,0.00049793,0.00050688,0.00071358,0.00017509,0.0020644,0.00047294
Bloom-176B,H100x8,8,6,2048,1.2203,0.017432,0.011212,0.00078209,0.00089518,0.00094248,0.00022745,0.0027423,0.00063059
Bloom-176B,H100x8,8,6,3072,1.9048,0.027212,0.016706,0.001706,0.002007,0.0014082,0.00034087,0.0040981,0.00094588
Bloom-176B,H100x8,8,6,4096,2.639,0.0377,0.022199,0.0029015,0.0035607,0.0018738,0.00044994,0.0054539,0.0012612
Bloom-176B,H100x8,8,6,5120,3.4383,0.049119,0.027693,0.0045822,0.0055545,0.0023395,0.00056335,0.0068097,0.0015765
Bloom-176B,H100x8,8,6,6144,4.2826,0.06118,0.033186,0.0064593,0.0079993,0.0028052,0.00067242,0.0081655,0.0018918
Bloom-176B,H100x8,8,6,7168,5.187,0.0741,0.03868,0.0087507,0.010884,0.0032709,0.00078584,0.0095213,0.0022071
Bloom-176B,H100x8,8,8,4,0.030409,0.00043441,0.00032954,3.6478e-05,6.2306e-06,1.6172e-05,6.588e-06,3.7762e-05,1.6422e-06
Bloom-176B,H100x8,8,8,8,0.031759,0.00045371,0.00033574,3.6692e-05,6.2649e-06,1.9498e-05,7.4072e-06,4.4824e-05,3.2843e-06
Bloom-176B,H100x8,8,8,16,0.034454,0.0004922,0.00034863,3.7128e-05,6.3609e-06,2.5637e-05,8.9284e-06,5.8947e-05,6.5686e-06
Bloom-176B,H100x8,8,8,32,0.04043,0.00057758,0.00038192,3.8452e-05,6.6326e-06,3.8013e-05,1.2236e-05,8.7192e-05,1.3137e-05
Bloom-176B,H100x8,8,8,1,0.029513,0.00042161,0.000325,3.6868e-05,6.2346e-06,1.453e-05,6.0961e-06,3.2466e-05,4.1054e-07
Bloom-176B,H100x8,8,8,2,0.029781,0.00042544,0.0003264,3.6386e-05,6.2659e-06,1.5077e-05,6.2598e-06,3.4232e-05,8.2108e-07
Bloom-176B,H100x8,8,6,8192,6.1601,0.088001,0.044174,0.011381,0.014416,0.0037358,0.00089491,0.010877,0.0025223
Bloom-176B,H100x8,8,6,10240,8.3741,0.11963,0.055161,0.017801,0.024143,0.0046671,0.0011174,0.013589,0.0031529
Bloom-176B,H100x8,8,8,64,0.063605,0.00090864,0.00061584,4.0762e-05,7.8043e-06,5.6233e-05,1.804e-05,0.00014368,2.6274e-05
Bloom-176B,H100x8,8,8,128,0.10996,0.0015709,0.0010831,4.6607e-05,1.2508e-05,9.2674e-05,2.6766e-05,0.00025667,5.2549e-05
Bloom-176B,H100x8,8,8,256,0.20475,0.002925,0.0020354,6.4264e-05,2.7039e-05,0.00016634,4.422e-05,0.00048263,0.0001051
Bloom-176B,H100x8,8,8,384,0.29994,0.0042849,0.0029609,9.6961e-05,5.1151e-05,0.0002479,6.1673e-05,0.0007086,0.00015765
Bloom-176B,H100x8,8,8,512,0.39371,0.0056245,0.0038811,0.00011842,7.9462e-05,0.00032157,7.9189e-05,0.00093456,0.0002102
Bloom-176B,H100x8,8,8,768,0.59002,0.0084288,0.0057355,0.00021569,0.00018064,0.0004768,0.00011838,0.0013865,0.00031529
Bloom-176B,H100x8,8,8,1024,0.78265,0.011181,0.007531,0.0003036,0.00030189,0.00063202,0.00015329,0.0018384,0.00042039
Bloom-176B,H100x8,8,8,1536,1.1936,0.017052,0.011212,0.0006241,0.00067265,0.00094248,0.00022745,0.0027423,0.00063059
Bloom-176B,H100x8,8,12,1,0.02967,0.00042385,0.00032572,3.692e-05,6.2649e-06,1.4805e-05,6.1779e-06,3.3349e-05,6.1581e-07
Bloom-176B,H100x8,8,8,6144,5.6755,0.081079,0.044174,0.0082112,0.010664,0.0037358,0.00089491,0.010877,0.0025223
